Station Name,Street Address,City,State,ZIP,Station Phone,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,ID,EVConnectorTypes,Country,Access Code,Access Detail Code,Facility Type,EV Pricing
Madras - Dairy Queen,483 SE 5th street,Madras,OR,97741,888-833-2148,Public,24 hours daily,Unknown,0,1,0,Webasto,44.629007,-121.129054,77347,J1772,US,Public,,,Level 2: $4 per session or $19.99 for monthly plan
Port Orford - Seaside Plaza,1320 Oregon St,Port Orford,OR,97465,888-833-2148,Public,24 hours daily,Unknown,0,0,1,Webasto,42.74927,-124.497018,77348,CHADEMO,US,Public,,,DC Fast: $7.50 per session or $19.99 for monthly plan
Port Orford - Seaside Plaza,1320 Oregon St,Port Orford,OR,97465,888-833-2148,Public,24 hours daily,Unknown,0,1,0,Webasto,42.74927,-124.497018,77348,J1772,US,Public,,,Level 2: $4 per session or $19.99 for monthly plan
Woodburn - Woodburn Transit Center,2875 Newburg Hwy,Woodburn,OR,97071,888-833-2148,Public,24 hours daily,Unknown,0,0,1,Webasto,45.151237,-122.879473,77349,CHADEMO,US,Public,,,DC Fast: $7.50 per session or $19.99 for monthly plan
Woodburn - Woodburn Transit Center,2875 Newburg Hwy,Woodburn,OR,97071,888-833-2148,Public,24 hours daily,Unknown,0,1,0,Webasto,45.151237,-122.879473,77349,J1772,US,Public,,,Level 2: $4 per session or $19.99 for monthly plan
Brookings,325 5th st,Brookings,OR,97415,888-833-2148,Public,24 hours daily,Unknown,0,0,1,Webasto,42.05418,-124.28892,77350,CHADEMO,US,Public,,,DC Fast: $7.50 per session or $19.99 for monthly plan
Brookings,325 5th st,Brookings,OR,97415,888-833-2148,Public,24 hours daily,Unknown,0,1,0,Webasto,42.05418,-124.28892,77350,J1772,US,Public,,,Level 2: $4 per session or $19.99 for monthly plan
HOLIDAY INN,2501-2599 NW Aloclek Dr,Hillsboro,OR,97124,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,45.5378034,-122.8942302,77419,J1772,US,Public,,,$0.25 per kWh
COLUMBIA BASIN,389 N Main St,Heppner,OR,97836,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,45.3565578,-119.5533731,77444,J1772,US,Public,,,"Pricing is based on length of time and kWh used. $0 per hour for the first 4 hours, and $2.5 per additional hour, $0.12 per kWh"
PINE MTN SPORTS,255 SW Century Drive,Bend,OR,97702,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,44.0480025,-121.3323459,77866,J1772,US,Public,,,"Pricing is based on length of time. $0 per hour for the first 1 hour, and $3 per additional hour"
COLUMBIA BASIN,402 S Main St,Condon,OR,97823,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,45.2341265,-120.1842954,78232,J1772,US,Public,,,"Pricing is based on length of time and kWh used. $0 per hour for the first 4 hours, and $2.5 per additional hour, $0.12 per kWh"
FIRST AND MAIN,100 SW Main,Portland,OR,97204,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,45.5150054,-122.6760813,78942,J1772,US,Public,,,No Fee
HASSALO GARAGE,1107 NE 9th Ave,Portland,OR,97232,888-758-4389,Public,24 hours daily,Unknown,0,6,0,ChargePoint Network,45.531083,-122.657182,78953,J1772,US,Public,,,"$0.21 per kWh, minimum payment of $0.21"
Edith Green - Wendell Wyatt Federal Building,1220 SW 3rd Ave,Portland,OR,97204,Unknown,Private - Government only,Fleet vehicle only,Unknown,0,8,0,Non-Networked,45.514468,-122.677047,79135,J1772,US,Private,GOVERNMENT,FED_GOV,Unknown
BMW PORTLAND,2018 SW Madison St,Portland,OR,97205,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,45.5190612,-122.6948052,79184,J1772,US,Public,,,Pricing is based on time of day. $10 per hour from 12:00 AM to 6:00 AM
OSH,Bobolink Way,Salem,OR,97301,888-758-4389,Public,24 hours daily,Unknown,0,8,0,ChargePoint Network,44.9385422,-123.0059817,79220,J1772,US,Public,,,"Pricing is based on length of time and kWh used. $0 per hour for the first 10 hours, and $3 per additional hour, $0.25 per kWh"
REMER INC,2323 S Roosevelt Dr,Seaside,OR,97138,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,45.9785676,-123.9266044,79303,J1772,US,Public,,,No Fee
EV4,2727 SE Raymond St,Portland,OR,97202,888-758-4389,Public,24 hours daily,Unknown,0,0,1,ChargePoint Network,45.4871662,-122.6379852,80057,CCS,US,Public,,,$0.4 per kWh
UO-EMU,1352-1404 Onyx St,Eugene,OR,97403,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,44.0441108,-123.0736945,80322,J1772,US,Public,,,No Fee
DAS OREGON,550 capital st NE,Salem,OR,97301,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,44.9419755,-123.025572,81177,J1772,US,Public,,,"$0.8 per hour, $0.48 per kWh"
LCT,825 NE Multnomah St,Portland,OR,97232,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,45.5325034,-122.6576193,81378,J1772,US,Public,,,No Fee
Oregon Department of Energy,550 Capitol St NE,Salem,OR,97301,Unknown,Private,For fleet use only,Unknown,0,1,0,Non-Networked,44.941989,-123.025697,81506,J1772,US,Private,,STATE_GOV,Unknown
Brewery Blocks Portland Parking,114 NW 13th Ave,Portland,OR,97209,503-221-1666,Public,24 hours daily,Unknown,0,9,0,OpConnect,45.524019,-122.684185,81777,J1772,US,Public,,SHOPPING_CENTER,$0.75 per hour for first 4 hours; $5 per hour thereafter
GS INDIGO LLC,430 SW 13th Ave,Portland,OR,97205,888-758-4389,Public,24 hours daily,Unknown,0,4,0,ChargePoint Network,45.522444,-122.684063,82087,J1772,US,Public,,,"Pricing is based on length of time. $0 per hour, and $5 per additional hour, maximum payment of $10"
SAFEWAY,585 Siskiyou Blvd,Ashland,OR,97520,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,42.1936093,-122.7062787,82580,J1772,US,Public,,,No Fee
SOFI LAKE OSWEG,15000 Davis Ln,Lake Oswego,OR,97035,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,45.4189601,-122.7150932,82604,J1772,US,Public,,,"Pricing is based on length of time. $0 per hour for the first 1 hour, and $3 per additional hour"
STATION1,11785 NW Timberview Ln,Portland,OR,97229,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,45.5219071,-122.7991643,85386,J1772,US,Public,,,"Pricing is based on length of time. $0 per hour for the first 1 hour, and $3 per additional hour"
CHARGEPOINT BW,1215 N Hayden Meadows Dr.,Portland,OR,97217,888-758-4389,Public,24 hours daily,Unknown,0,4,0,ChargePoint Network,45.593737,-122.680684,85666,J1772,US,Public,,,"$0.5 per hour, $0.22 per kWh, maximum payment of $15"
MEDFORD BMW,4600 Grumman Dr,Medford,OR,97504,888-758-4389,Public,24 hours daily,Unknown,0,4,0,ChargePoint Network,42.381273,-122.857196,86004,J1772,US,Public,,,No Fee
PARK AVENUE,820 SW Morrison St,Portland,OR,97205,888-758-4389,Public,24 hours daily,Unknown,0,4,0,ChargePoint Network,45.519477,-122.680876,86878,J1772,US,Public,,,$0.2 per kWh
PARK AVENUE,727-789 SW Park Ave,Portland,OR,97205,888-758-4389,Public,24 hours daily,Unknown,0,4,0,ChargePoint Network,45.519525,-122.680861,86879,J1772,US,Public,,,$0.2 per kWh
LINCOLN CITY,1401-1499 NE 15th St,Lincoln City,OR,97367,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,44.9760008,-124.0115386,86955,J1772,US,Public,,,No Fee
HILLSBORO OR,4415 Northeast 30th,Hillsboro,OR,97124,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,45.5518666,-122.94907,87980,J1772,US,Public,,,"$1 per hour, minimum payment of $1, maximum payment of $24, maximum session time is 24 hours"
HILLSBORO OR,4415 NE 30th Ave,Hillsboro,OR,97124,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,45.5518638,-122.9491492,87981,J1772,US,Public,,,"$1 per hour, minimum payment of $1, maximum payment of $24, maximum session time is 24 hours"
Southern Oregon University - Lot 1,1554 Webster St,Ashland,OR,97520,541-552-7275,Public,24 hours daily; parking permit required,Unknown,0,2,0,Non-Networked,42.186395,-122.690383,92125,J1772,US,Public,,COLLEGE_CAMPUS,No Fee
Southern Oregon University - Lot 27,1250 Siskiyou Blvd,Ashland,OR,97520,541-552-7275,Public,24 hours daily; parking permit required,Unknown,0,1,0,Non-Networked,42.186471,-122.694003,92126,J1772,US,Public,,COLLEGE_CAMPUS,No Fee
ONLY STATION,4772 N Lombard St,Portland,OR,97203,888-758-4389,Public,24 hours daily,Unknown,0,2,0,ChargePoint Network,45.5800059,-122.7177148,92222,J1772,US,Public,,,No Fee
SOU,1554 Webster St,Ashland,OR,97520,888-758-4389,Public,24 hours daily,Unknown,0,4,0,ChargePoint Network,42.186396,-122.690383,92986,J1772,US,Public,,,No Fee
New Seasons,3210 NE Broadway St,Portland,OR,97232,877-455-3833,Public - Card key at all times,24 hours daily,Unknown,0,0,1,eVgo Network,45.5351,-122.6329,93123,CHADEMO,US,Public,KEY_ALWAYS,,Unknown
New Seasons,3210 NE Broadway St,Portland,OR,97232,877-455-3833,Public - Card key at all times,24 hours daily,Unknown,0,1,0,eVgo Network,45.5351,-122.6329,93123,J1772,US,Public,KEY_ALWAYS,,Unknown
New Seasons,3210 NE Broadway St,Portland,OR,97232,877-455-3833,Public - Card key at all times,24 hours daily,Unknown,0,0,1,eVgo Network,45.5351,-122.6329,93123,CCS,US,Public,KEY_ALWAYS,,Unknown
REI,7410 SW Bridgeport Rd,Tigard,OR,97224,877-455-3833,Public - Card key at all times,24 hours daily,Unknown,0,0,1,eVgo Network,45.393425,-122.752763,93151,CHADEMO,US,Public,KEY_ALWAYS,,Unknown
REI,7410 SW Bridgeport Rd,Tigard,OR,97224,877-455-3833,Public - Card key at all times,24 hours daily,Unknown,0,1,0,eVgo Network,45.393425,-122.752763,93151,J1772,US,Public,KEY_ALWAYS,,Unknown
REI,7410 SW Bridgeport Rd,Tigard,OR,97224,877-455-3833,Public - Card key at all times,24 hours daily,Unknown,0,0,1,eVgo Network,45.393425,-122.752763,93151,CCS,US,Public,KEY_ALWAYS,,Unknown
Washington Square,9585 SW Washington Square Rd,Portland,OR,97223,877-455-3833,Public - Card key at all times,24 hours daily,Unknown,0,0,2,eVgo Network,45.449808,-122.779915,93436,CHADEMO,US,Public,KEY_ALWAYS,,Unknown
Washington Square,9585 SW Washington Square Rd,Portland,OR,97223,877-455-3833,Public - Card key at all times,24 hours daily,Unknown,0,0,2,eVgo Network,45.449808,-122.779915,93436,CCS,US,Public,KEY_ALWAYS,,Unknown
Walmart,23500 NE Sandy Blvd,Wood Village,OR,97060,877-455-3833,Public - Card key at all times,24 hours daily,Unknown,0,0,1,eVgo Network,45.541717,-122.421181,93530,CHADEMO,US,Public,KEY_ALWAYS,,Unknown
Walmart,23500 NE Sandy Blvd,Wood Village,OR,97060,877-455-3833,Public - Card key at all times,24 hours daily,Unknown,0,0,1,eVgo Network,45.541717,-122.421181,93530,CCS,US,Public,KEY_ALWAYS,,Unknown
New Seasons,2170 NW Raleigh St,Portland,OR,97210,877-455-3833,Public - Card key at all times,24 hours daily,Unknown,0,0,1,eVgo Network,45.533935,-122.695452,93542,CHADEMO,US,Public,KEY_ALWAYS,,Unknown
New Seasons,2170 NW Raleigh St,Portland,OR,97210,877-455-3833,Public - Card key at all times,24 hours daily,Unknown,0,0,1,eVgo Network,45.533935,-122.695452,93542,CCS,US,Public,KEY_ALWAYS,,Unknown
Walmart,1123 N Hayden Meadows Dr,Portland,OR,97217,877-455-3833,Public - Card key at all times,24 hours daily,Unknown,0,0,2,eVgo Network,45.59671,-122.6782,93543,CHADEMO,US,Public,KEY_ALWAYS,,Unknown
Walmart,1123 N Hayden Meadows Dr,Portland,OR,97217,877-455-3833,Public - Card key at all times,24 hours daily,Unknown,0,0,2,eVgo Network,45.59671,-122.6782,93543,CCS,US,Public,KEY_ALWAYS,,Unknown
7-Eleven,NE 82nd Way & NE Air Cargo Rd,Portland,OR,97218,877-455-3833,Public - Card key at all times,24 hours daily,Unknown,0,0,2,eVgo Network,45.579806,-122.574875,93586,CHADEMO,US,Public,KEY_ALWAYS,,Unknown
7-Eleven,NE 82nd Way & NE Air Cargo Rd,Portland,OR,97218,877-455-3833,Public - Card key at all times,24 hours daily,Unknown,0,0,2,eVgo Network,45.579806,-122.574875,93586,CCS,US,Public,KEY_ALWAYS,,Unknown
Southern Oregon University - Facilities Management & Planning,351 Walker Ave,Ashland,OR,97520,Unknown,Private,Fleet use only,Unknown,0,0,0,Unknown,42.188483,-122.688136,93767,Unknown,US,Private,,COLLEGE_CAMPUS,Unknown
CAPPELLA,4752 Liberty Rd S,Salem,OR,97302,888-758-4389,Public,24 hours daily,Unknown,0,1,0,ChargePoint Network,44.888818,-123.059289,93826,J1772,US,Public,,,$1 per hour
BEND BMW,1000 SW Division St,Bend,OR,97702,888-758-4389,Public,24 hours daily,Unknown,0,1,0,ChargePoint Network,44.0396958,-121.3055272,94513,J1772,US,Public,,,No Fee
Santa's Hardware,87038 Christmas Valley Hwy,Christmas Valley,OR,97641,541-576-2999,Public,"9am-5pm M-Sat, 11am-5pm Sun; Also accepts PayPal",A Cash D M V,0,1,0,Non-Networked,43.237312,-120.690638,94702,J1772,US,Public,,HARDWARE_STORE,$2 per hour
Universal Recycling Technologies,10145 SE Jennifer St,Clackamas,OR,97015,866-816-7584,Public,Office business hours; for employee and guest use only,Unknown,0,2,0,EV Connect,45.404067,-122.558917,94873,J1772,US,Public,,OFFICE_BLDG,Unknown
Residence Inn,3160 NE Brookwood Pkwy,Hillsboro,OR,97124,866-816-7584,Public - Call ahead,24 hours daily; for hotel guest use only,Unknown,0,6,0,EV Connect,45.546484,-122.92822,94874,J1772,US,Public,CALL,HOTEL,Unknown
IKEA - Portland,10280 NE Cascades Parkway,Portland,OR,97220,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.57109,-122.554352,95053,J1772,US,Public,,,Level 2: $0.49 per kWh
Oregon Convention Center,777 NE MLK Jr. Blvd.,Portland,OR,97232,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.526865,-122.663388,95067,J1772,US,Public,,,Level 2: $0.49 per kWh
Goodwill Store Newberg,2210 Portland Road,Newberg,OR,97123,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,45.302362,-122.957633,95071,J1772,US,Public,,,Level 2: $0.49 per kWh
Mult Co - Midland Library,805 SE 122nd Avenue,Portland,OR,97233,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,45.516346,-122.538201,95080,J1772,US,Public,,,Level 2: $0.49 per kWh
EWEB - Main Offices,500 E. 4th Ave,Eugene,OR,97401,888-998-2546,Private,24 hours daily,Unknown,0,7,0,Blink Network,44.054978,-123.085542,95085,J1772,US,Private,,,No Fee
Beaverton Round - City Hall,12725 Southwest Millikan Way,Beaverton,OR,97005,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,45.491017,-122.808372,95128,J1772,US,Public,,,Level 2: $0.49 per kWh
Griffith Drive Building,4755 SW Griffith Dr.,Beaverton,OR,97005,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,45.485607,-122.798062,95129,J1772,US,Public,,,Level 2: $0.49 per kWh
Salem - Chemeketa Parkade,338 Commercial St NE,Salem,OR,97301,888-998-2546,Public,24 hours daily,Unknown,0,4,0,Blink Network,44.942219,-123.038899,95135,J1772,US,Public,,,Level 2: $0.49 per kWh
Salem - Central Library,585 Liberty Street SE,Salem,OR,97301,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,44.93486,-123.041872,95137,J1772,US,Public,,,Level 2: $0.49 per kWh
Mult Co - Rockwood Library,17917 S.E. Stark Street,Portland,OR,97233,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.519694,-122.478926,95138,J1772,US,Public,,,Level 2: $0.49 per kWh
Clackamas CC - Wilsonville,29353 SW Town Center Loop E,Wilsonville,OR,97070,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,45.307462,-122.760565,95145,J1772,US,Public,,,Level 2: $0.49 per kWh
FRED MEYER - #360 Stadium,100 NW 20th Place,Portland,OR,97209,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.523689,-122.692838,95158,J1772,US,Public,,,Level 2: $0.49 per kWh
FRED MEYER - #135 Hawthorne,3805 SE Hawthorne Blvd,Portland,OR,97214,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.512679,-122.623593,95159,J1772,US,Public,,,Level 2: $0.49 per kWh
FRED MEYER - #127 Gresham,2497 SE Burnside Rd,Gresham,OR,97080,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.494909,-122.404711,95161,J1772,US,Public,,,Level 2: $0.49 per kWh
FRED MEYER - #482 Walker Road,15995 SW Walker Road,Beaverton,OR,97006,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.518342,-122.841327,95162,J1772,US,Public,,,Level 2: $0.49 per kWh
Timberhill Athletic Club,2855 NW 29th St.,Corvallis,OR,97330,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,44.595571,-123.286015,95225,J1772,US,Public,,,Level 2: $0.49 per kWh
Legacy Emanuel Hospital and Health Center,2725 North Gantenbein Avenue,Portland,OR,97227,888-998-2546,Public,24 hours daily,Unknown,0,3,0,Blink Network,45.5422579,-122.6695565,95226,J1772,US,Public,,,Level 2: $0.49 per kWh
OSU - Fairbanks Hall,220 NW 26th St.,Corvallis,OR,97331,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,44.564674,-123.28033,95263,J1772,US,Public,,,Level 2: $0.49 per kWh
RTI,701 Monmouth Ave,Monmouth,OR,97361,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,44.855379,-123.2374679,95265,J1772,US,Public,,,Level 2: $0.49 per kWh
Linn Benton Community College,757 NW Polk Avenue,Corvallis,OR,97330,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,44.570951,-123.263097,95268,J1772,US,Public,,,Level 2: $0.49 per kWh
Salem - Liberty Parkade,199 Liberty St. SE,Salem,OR,97301,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,44.939001,-123.039338,95284,J1772,US,Public,,,Level 2: $0.49 per kWh
FRED MEYER - #393 Tualatin,19200 SW Martinazzi,Tualatin,OR,97062,888-998-2546,Public,24 hours daily,Unknown,0,0,2,Blink Network,45.381549,-122.756283,95299,CHADEMO,US,Public,,,DC Fast: $0.59 per kWh
FRED MEYER - #393 Tualatin,19200 SW Martinazzi,Tualatin,OR,97062,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,45.381549,-122.756283,95299,J1772,US,Public,,,Level 2: $0.49 per kWh
Mult Co - Hillsdale Public Library,1525 SW Sunset Blvd,Portland,OR,97239,888-998-2546,Public,10:00am-6:00pm daily,Unknown,0,2,0,Blink Network,45.479667,-122.693655,95301,J1772,US,Public,,,Level 2: $0.49 per kWh
FRED MEYER - #128 Gateway,1111 NE 102nd,Portland,OR,97220,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.530701,-122.558093,95341,J1772,US,Public,,,Level 2: $0.49 per kWh
Providence - Hood River Memorial Hospital,810 12th St,Hood River,OR,97031,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.704583,-121.522868,95357,J1772,US,Public,,,Level 2: $0.49 per kWh
King Estate Winery,80854 Territorial Highway,Eugene,OR,97405,888-998-2546,Public,24 hours daily,Unknown,0,3,0,Blink Network,43.861815,-123.250702,95394,J1772,US,Public,,,Level 2: $0.49 per kWh
FRED MEYER - #663 Sandy,16625 SE 362nd Ave,Sandy,OR,97055,888-998-2546,Public,12:00am-11:58pm daily,Unknown,0,0,2,Blink Network,45.402972,-122.294316,95404,CHADEMO,US,Public,,,DC Fast: $0.59 per kWh
FRED MEYER - #663 Sandy,16625 SE 362nd Ave,Sandy,OR,97055,888-998-2546,Public,12:00am-11:58pm daily,Unknown,0,1,0,Blink Network,45.402972,-122.294316,95404,J1772,US,Public,,,Level 2: $0.49 per kWh
Oregon Research Institute,1700 Millrace Drive,Eugene,OR,97403,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,44.048152,-123.068227,95407,J1772,US,Public,,,Level 2: $0.49 per kWh
Legacy Mount Hood Medical Center,24800 SE Stark St,Gresham,OR,97030,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,45.516397,-122.408423,95415,J1772,US,Public,,,Level 2: $0.49 per kWh
Hotel Modera,515 SW Clay,Portland,OR,97201,888-998-2546,Private,24 hours daily,Unknown,0,1,0,Blink Network,45.514061,-122.681065,95507,J1772,US,Private,,,Level 2: $0.49 per kWh
Wines of Oregon,60675 NW Sunset Hwy,Timber,OR,97144,888-998-2546,Public,10:00am-5:00pm daily,Unknown,0,1,0,Blink Network,45.760152,-123.300903,95508,J1772,US,Public,,,Level 2: $0.49 per kWh
Tigard - Senior Center,8740 SW Omara St.,Tigard,OR,97223,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.422253,-122.766953,95517,J1772,US,Public,,,Level 2: $0.49 per kWh
Amberglen - 1915 Building,"1915 NW AmberGlen Parkway, Suite 365",Beaverton,OR,97006,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.533966,-122.881375,95550,J1772,US,Public,,,Level 2: $0.49 per kWh
Legacy Good Samaritan Hospital,1130 NW 22nd Ave,Portland,OR,97227,888-998-2546,Private,24 hours daily,Unknown,0,2,0,Blink Network,45.531168,-122.695608,95553,J1772,US,Private,,,Level 2: $0.49 per kWh
Salem - Marion Parkade,400 Marion Street,Salem,OR,97301,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,44.944534,-123.034864,95554,J1772,US,Public,,,Level 2: $0.49 per kWh
Shari's Restaurant & Pies - Sherwood,16280 SW Langer Dr,Sherwood,OR,97140,888-998-2546,Public,24 hours daily,Unknown,0,0,2,Blink Network,45.367027,-122.846401,95576,CHADEMO,US,Public,,,DC Fast: $0.59 per kWh
Shari's Restaurant & Pies - Sherwood,16280 SW Langer Dr,Sherwood,OR,97140,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,45.367027,-122.846401,95576,J1772,US,Public,,,Level 2: $0.49 per kWh
Garden Garage,One Center Court,Portland,OR,97227,888-998-2546,Public,24 hours daily,Unknown,0,8,0,Blink Network,45.531608,-122.667285,95584,J1772,US,Public,,,Level 2: $0.49 per kWh
Legacy Meridian Park Hospital,19300 Southwest 65th Avenue,Tualatin,OR,97062,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.379814,-122.743093,95593,J1772,US,Public,,,Level 2: $0.49 per kWh
"McDonald's on Cornelius Pass Rd in Hillsboro, OR",6393 NW Cornelius Pass Rd,Hillsboro,OR,97124,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.56559,-122.894732,95628,J1772,US,Public,,,Level 2: $0.49 per kWh
Wilsonville City Hall,29799 SW Town Center Loop E,Wilsonville,OR,97070,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,45.304696,-122.761063,95687,J1772,US,Public,,,Level 2: $0.49 per kWh
First Alternative Cooperative North,2855 NW Grant St,Corvallis,OR,97330,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,44.579023,-123.282687,95690,J1772,US,Public,,,Level 2: $0.49 per kWh
Oregon Food Bank,1870 NW 173rd Ave,Beaverton,OR,97006,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,45.533185,-122.853696,95710,J1772,US,Public,,,No Fee
FRED MEYER - #661 Sunset,22075 NW Imbrie Drive,Hillsboro,OR,97124,888-998-2546,Public,24 hours daily,Unknown,0,0,2,Blink Network,45.551203,-122.902605,95718,CHADEMO,US,Public,,,DC Fast: $0.59 per kWh
FRED MEYER - #661 Sunset,22075 NW Imbrie Drive,Hillsboro,OR,97124,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,45.551203,-122.902605,95718,J1772,US,Public,,,Level 2: $0.49 per kWh
FRED MEYER - #242 Oregon City,1839 Molalla Avenue,Oregon City,OR,97045,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.330009,-122.585212,95732,J1772,US,Public,,,Level 2: $0.49 per kWh
Hawthorne Auto Clinic,4307 SE HAWTHORNE BLVD,PORTLAND,OR,97215,888-998-2546,Private,24 hours daily,Unknown,0,1,0,Blink Network,45.512037,-122.618159,95743,J1772,US,Private,,,Level 2: $0.49 per kWh
Hotel Rose Portland,50 SW Morrison Street,Portland,OR,97204,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.517469,-122.673361,95750,J1772,US,Public,,,Level 2: $0.49 per kWh
Multnomah County - Parking Structure,500 SE Hawthorne Blvd,Portland,OR,97214,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.512013,-122.66054,95751,J1772,US,Public,,,Level 2: $0.49 per kWh
Eastgate Business Center,33900 SE Eastgate Circle,Corvallis,OR,97333,888-998-2546,Public,24 hours daily,Unknown,0,3,0,Blink Network,44.563768,-123.225812,95757,J1772,US,Public,,,Level 2: $0.49 per kWh
Gresham - Miller Parking Lot,82 Northwest 2nd Street,Gresham,OR,97030,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,45.49912,-122.432229,95759,J1772,US,Public,,,Level 2: $0.49 per kWh
Old West Salem City Hall,1320 Edgewater St. NW,Salem,OR,97304,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,44.939611,-123.060235,95805,J1772,US,Public,,,Level 2: $0.49 per kWh
Lake Oswego - 500 1st St,500 1st St,Lake Oswego,OR,97034,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,45.421001,-122.664243,95820,J1772,US,Public,,,Level 2: $0.49 per kWh
IBEW 48 - Union Hall,15937 NE Airport Way,Portland,OR,97230,888-998-2546,Public,24 hours daily,Unknown,0,0,2,Blink Network,45.557495,-122.49887,95823,CHADEMO,US,Public,,,No Fee
Salem-Keizer Transit,5820 Keizer Station Blvd NE,Keizer,OR,97303,888-998-2546,Public,24 hours daily,Unknown,0,4,0,Blink Network,45.007431,-123.002082,95827,J1772,US,Public,,,Level 2: $0.49 per kWh
Oregon Food Bank - Portland,7900 NE 33rd Drive,Portland,OR,97211,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,45.580585,-122.632974,95834,J1772,US,Public,,,No Fee
Hillsboro - Main Library,2850 NE Brookwood Pkwy,Hillsboro,OR,97124,888-998-2546,Public,24 hours daily,Unknown,0,4,0,Blink Network,45.543513,-122.936116,95891,J1772,US,Public,,,Level 2: $0.49 per kWh
Hillsboro Civic Center,150 E Main Street,Hillsboro,OR,97123,888-998-2546,Public,24 hours daily,Unknown,0,0,2,Blink Network,45.521578,-122.988974,95917,CHADEMO,US,Public,,,No Fee
OSU - Linus Pauling Science Center,2750 SW Campus Way,Corvallis,OR,97331,888-998-2546,Public,24 hours daily,Unknown,0,2,0,Blink Network,44.56629,-123.283795,95918,J1772,US,Public,,,Level 2: $0.49 per kWh
Tigard - Public Works,8777 SW Burnham St.,Tigard,OR,97223,888-998-2546,Public,24 hours daily,Unknown,0,1,0,Blink Network,45.427235,-122.767239,95931,J1772,US,Public,,,Level 2: $0.49 per kWh
